Date,TSLAOpen,TSLAHigh,TSLALow,TSLAClose,TSLAAdjClose,TSLAVolume,NVDAOpen,NVDAHigh,NVDALow,NVDAClose,NVDAAdjClose,NVDAVolume
9/11/2020,127.313332,127.5,120.166664,124.239998,124.239998,182152500,124.855003,126.525002,118.957497,121.644997,121.346268,63692800
9/14/2020,126.98333,140,124.433334,139.873337,139.873337,249061800,130.809998,133.149994,126.3125,128.722504,128.406403,120174400
9/15/2020,145.520004,153.979996,143.566666,149.919998,149.919998,291894600,132.800003,132.987503,128.277496,129.910004,129.590973,72755600
9/16/2020,146.623337,152.596664,145.103333,147.253326,147.253326,216837900,129.572495,130.927505,125.137497,125.144997,124.837685,55638400
9/17/2020,138.53334,145.929993,136,141.143326,141.143326,230337600,121.322502,125.897499,120.347504,124.635002,124.328941,79251200
9/18/2020,149.313339,150.333328,142.933334,147.383331,147.383331,259220400,125.9375,126.324997,119.887497,121.892502,121.59317,69846000
9/21/2020,151.043335,151.893326,135.690002,149.796661,149.796661,328430400,119.25,125.224998,119.044998,125.172501,124.865105,72104400
9/22/2020,143.199997,145.919998,139.199997,141.410004,141.410004,238742400,125.75,126.480003,121.555,126.377502,126.067146,64645200
9/23/2020,135.053329,137.383331,125.293335,126.786667,126.786667,285222600,125.754997,127.269997,120.792503,121.237503,120.939796,64701200
9/24/2020,121.26667,133.166672,117.099998,129.263336,129.263336,289683300,120.722504,125.695,120.139999,123.480003,123.176781,73124000
9/25/2020,131.156662,136.243332,130.433334,135.779999,135.779999,201625500,124.474998,128.835007,122.457497,128.737503,128.421371,58801600
9/28/2020,141.539993,142.693329,138.516663,140.399994,140.399994,149158800,130.402496,130.517502,127.5,130.350006,130.029907,57380800
9/29/2020,138.666672,142.833328,137.199997,139.690002,139.690002,150657900,129.375,134.427505,129.332504,132.257507,131.932663,62146000
9/30/2020,140.440002,144.643326,140.156662,143.003326,143.003326,144436800,131.574997,136.225006,131.502502,135.304993,134.972702,68918400
10/1/2020,146.919998,149.626663,144.806671,149.386673,149.386673,152224500,137.580002,137.627502,134.607498,136.145004,135.810669,52500400
10/2/2020,140.463333,146.376663,138.333328,138.363327,138.363327,214290000,132.25,135.195007,130.509995,130.622498,130.301743,55249600
10/5/2020,141.116669,144.546661,139.776672,141.893326,141.893326,134168400,132.360001,136.442505,132.227493,136.425003,136.089981,47982000
10/6/2020,141.263336,142.926666,135.350006,137.993332,137.993332,147438900,138.300003,141.419998,136.649994,137.365005,137.02771,78442000
10/7/2020,139.956665,143.300003,137.949997,141.766663,141.766663,129383100,139.997498,141.192505,138.634995,139.639999,139.297089,41808400
10/8/2020,146.146667,146.333328,141.766663,141.973328,141.973328,121263300,140.75,140.845001,137.580002,138.387497,138.047638,37890000
10/9/2020,143.376663,144.863327,142.153336,144.666672,144.666672,86777100,137.669998,138.242493,136.607498,137.627502,137.28952,34689200
10/12/2020,147.333328,149.580002,146.193329,147.433334,147.433334,116373300,139.895004,143.470001,139.125,142.259995,141.910614,43474400
10/13/2020,147.78334,149.630005,145.53334,148.883331,148.883331,103391100,142.964996,143.485001,140.1875,142.482498,142.132599,34460400
10/14/2020,149.926666,155.300003,149.116669,153.766663,153.766663,143639100,142.904999,143.427505,139.600006,140.952499,140.606339,27610000
